file,true_author,predicted_author,ppl_hamilton,ppl_madison,correct
federalist_67.txt,hamilton,hamilton,25.136388778686523,36.114463806152344,True
federalist_32.txt,hamilton,hamilton,21.59764862060547,29.22601318359375,True
federalist_73.txt,hamilton,hamilton,23.706092834472656,32.871952056884766,True
federalist_65.txt,hamilton,hamilton,26.98427963256836,34.70262908935547,True
federalist_29.txt,hamilton,hamilton,30.39958953857422,39.9840202331543,True
federalist_47.txt,madison,madison,22.56481170654297,20.60820198059082,True
federalist_84.txt,hamilton,hamilton,24.568645477294922,30.16701889038086,True
federalist_69.txt,hamilton,hamilton,19.439495086669922,26.51856803894043,True
federalist_07.txt,hamilton,hamilton,36.05624008178711,45.95784378051758,True
federalist_72.txt,hamilton,hamilton,30.27431297302246,43.42996597290039,True
